priority_rank,trial_id,reason,period_title,arm_id,predicted_graph_weight,risk_percentile,risk_tier,action_hint,intervention_plan,queue_date,due_date,owner,status,outreach_channel,followup_outcome,notes
3799,NCT00094757,Lack of Efficacy,Overall Study,FG001,0.0332650007420436,0.831327441488653,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3800,NCT00174785,Prohibited antiarrhythmic medication,Overall Study,FG001,0.033203931947371,0.8312830305991029,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3801,NCT03952143,Withdrawal by Subject,Treatment Period,FG001,0.0331925908220832,0.8312386197095528,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3802,NCT01137812,Withdrawal by Subject,Overall Study,FG001,0.0331913057424007,0.8311942088200026,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3803,NCT01442038,Death,Overall Study,FG001,0.0331821822891666,0.8311497979304525,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3804,NCT04184622,Other - as reported by the investigator,Primary Treatment Period,FG003,0.0331493206152462,0.8311053870409024,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3805,NCT02427802,Adverse Event,Overall Study,FG002,0.0331425915244246,0.8310609761513523,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3806,NCT01272232,Protocol Violation,Weeks 0-56,FG002,0.0331367771875397,0.8310165652618022,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3807,NCT01732822,Withdrawal by Subject,Overall Study,FG001,0.0331290210860551,0.830972154372252,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3808,NCT00286442,Withdrawal by Subject,Overall Study,FG001,0.0331070357343551,0.8309277434827019,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3809,NCT00982644,Protocol Violation,Main: Week 0 to 52 (NN1250-3579),FG001,0.0330804037876885,0.8308833325931518,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3810,NCT00359762,Protocol Violation,Period II,FG000,0.0330683629557143,0.8308389217036017,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3811,NCT01396083,Consent withdrawn,Overall Study,FG000,0.0330670781790277,0.8307945108140516,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3812,NCT01435616,Physician Decision,Overall Study,FG000,0.0330515203075892,0.8307500999245014,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3813,NCT00291330,Lost to Follow-up,Overall Study,FG001,0.0330500647718948,0.8307056890349513,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3814,NCT00571649,Withdrawal by Subject,Follow-up Period,FG000,0.0330489284292261,0.8306612781454012,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3815,NCT02555878,Adverse Event,Overall Study,FG001,0.0330463012610416,0.8306168672558512,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3816,NCT00877890,Adverse Event,Overall Study,FG001,0.033034336295119,0.8305724563663011,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3817,NCT00600483,Lost to Follow-up,Overall Study,FG000,0.0330000975109127,0.8305280454767509,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3818,NCT02681094,Participant decision,2 - Enrolled Participants Set,FG002,0.0329997282907638,0.8304836345872008,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3819,NCT00809965,Death,Overall Study,FG002,0.0329956329360515,0.8304392236976507,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3820,NCT01499082,Adverse Event,Overall Study,FG000,0.0329951274686011,0.8303948128081006,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3821,NCT01763905,Decision by sponsor,Overall Study,FG000,0.0329926437477182,0.8303504019185505,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3822,NCT00877890,Adverse Event,Overall Study,FG000,0.0329773959487499,0.8303059910290003,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3823,NCT00877890,Withdrawal of Consent,Overall Study,FG000,0.0329705778779166,0.8302615801394502,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3824,NCT02681094,Participant decision,1 -Modified Enrolled Participants Set,FG002,0.0329704475774305,0.8302171692499001,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3825,NCT00708435,Death / Serious Adverse Event,Overall Study,FG001,0.0329690970560912,0.83017275836035,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3826,NCT00838903,Lost to Follow-up,Treatment Period (156 Weeks),FG002,0.0329470692574702,0.8301283474707999,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3827,NCT01809327,Other,Overall Study,FG001,0.0329355721971428,0.8300839365812497,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3828,NCT00273052,Protocol Violation,Overall Study,FG000,0.0329322977944742,0.8300395256916996,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3829,NCT01698775,Adverse Event,Phase B,FG001,0.0329233990808144,0.8299951148021495,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3830,NCT00996281,Lost to Follow-up,Overall Study,FG000,0.0329161910295138,0.8299507039125994,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3831,NCT03917472,Physician Decision,Overall Study,FG000,0.032915592892361,0.8299062930230493,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3832,NCT02512042,Other,Overall Study,FG001,0.032908774964127,0.8298618821334991,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3833,NCT01606007,Lost to Follow-up,Overall Study,FG001,0.0329020341960416,0.829817471243949,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3834,NCT01698775,Withdrawal by Subject,Phase A,FG000,0.0328947870402787,0.8297730603543989,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3835,NCT00121641,Adverse Event,48-month Short Term + Long Term Period,FG001,0.0328943067950893,0.8297286494648488,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3836,NCT01555164,Adverse Event,Overall Study,FG001,0.0328806748674801,0.8296842385752987,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3837,NCT00121641,Subject Withdrew Consent,24-week Short-term Treatment Period,FG003,0.0328789488501587,0.8296398276857485,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3838,NCT01606007,Withdrawal by Subject,Overall Study,FG000,0.0328724565116071,0.8295954167961984,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3839,NCT02512042,Other,Overall Study,FG000,0.0328686400871924,0.8295510059066483,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3840,NCT03066804,Withdrawal by Subject,Overall Study,FG000,0.0328506914945039,0.8295065950170982,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
